GISJOIN,POP20,BASENAME,State,NAME,STATE,url
G17009447,43212,Buffalo Grove,IL,Buffalo Grove village,Illinois,https://www.vbg.org/
G12053150,43080,Ormond Beach,FL,Ormond Beach city,Florida,https://www.ormondbeach.org/
G12012925,43021,Clermont,FL,Clermont city,Florida,http://www.clermontfl.gov/
G17049867,42985,Moline,IL,Moline city,Illinois,https://www.moline.il.us/
G48016612,42983,Coppell,TX,Coppell city,Texas,http://www.coppelltx.gov/
G53056695,42973,Puyallup,WA,Puyallup city,Washington,https://www.cityofpuyallup.org/
G53020750,42853,Edmonds,WA,Edmonds city,Washington,http://www.edmondswa.gov/
G51048952,42772,Manassas,VA,Manassas city,Virginia,https://www.manassasva.gov/
G25005595,42670,Beverly,MA,Beverly city,Massachusetts,https://www.beverlyma.gov/
G49071290,42602,Spanish Fork,UT,Spanish Fork city,Utah,https://www.spanishfork.org/
G51021344,42590,Danville,VA,Danville city,Virginia,https://www.danville-va.gov/
G13055020,42549,Newnan,GA,Newnan city,Georgia,http://www.ci.newnan.ga.us/
G26053780,42547,Midland,MI,Midland city,Michigan,https://cityofmidlandmi.gov/
G17004845,42404,Belleville,IL,Belleville city,Illinois,https://www.belleville.net/
G13031908,42296,Gainesville,GA,Gainesville city,Georgia,http://www.gainesville.org/
G06059514,42287,Rancho Palos Verdes,CA,Rancho Palos Verdes city,California,https://www.rpvca.gov/
G13059735,42243,Peachtree Corners,GA,Peachtree Corners city,Georgia,https://www.peachtreecornersga.gov/
G12039081,42219,Lake Worth Beach,FL,Lake Worth Beach city,Florida,https://lakeworthbeachfl.gov/
G27040382,42088,Maplewood,MN,Maplewood city,Minnesota,https://www.maplewoodmn.gov/
G48066128,42002,Schertz,TX,Schertz city,Texas,https://www.schertz.com/
G34036510,41999,Kearny,NJ,Kearny town,New Jersey,https://www.kearnynj.org/
G25023875,41946,Fitchburg,MA,Fitchburg city,Massachusetts,http://www.ci.fitchburg.ma.us/
G06014260,41941,Coachella,CA,Coachella city,California,https://www.coachella.org/
G25038715,41793,Marlborough,MA,Marlborough city,Massachusetts,https://www.marlborough-ma.gov/
G47016540,41690,Columbia,TN,Columbia city,Tennessee,http://www.columbiatn.com/
G06034120,41678,Hollister,CA,Hollister city,California,http://hollister.ca.gov/
G19049485,41535,Marion,IA,Marion city,Iowa,https://www.cityofmarion.org/
G55010025,41464,Brookfield,WI,Brookfield city,Wisconsin,https://www.ci.brookfield.wi.us/
G04008220,41348,Bullhead City,AZ,Bullhead City city,Arizona,https://www.bullheadcity.com/
G47028960,41333,Germantown,TN,Germantown city,Tennessee,https://www.germantown-tn.gov/
G39021434,41302,Delaware,OH,Delaware city,Ohio,http://www.delawareohio.net/
G13051670,41296,Milton,GA,Milton city,Georgia,https://www.cityofmiltonga.us/
G48041212,41275,Lancaster,TX,Lancaster city,Texas,https://www.lancaster-tx.com/
G05055310,41253,Pine Bluff,AR,Pine Bluff city,Arkansas,https://www.cityofpinebluff-ar.gov/
G39032592,41252,Grove City,OH,Grove City city,Ohio,https://www.grovecityohio.gov/
G37032260,41239,Holly Springs,NC,Holly Springs town,North Carolina,https://hollyspringsnc.us/
G12028452,41217,Hallandale Beach,FL,Hallandale Beach city,Florida,https://www.hallandalebeachfl.gov/
G48027648,41213,Friendswood,TX,Friendswood city,Texas,https://www.ci.friendswood.tx.us/
G48076816,41140,Waxahachie,TX,Waxahachie city,Texas,http://www.waxahachie.com/
G17004013,41105,Bartlett,IL,Bartlett village,Illinois,https://www.village.bartlett.il.us/
G39066390,41076,Reynoldsburg,OH,Reynoldsburg city,Ohio,https://ci.reynoldsburg.oh.us/
G21017848,40961,Covington,KY,Covington city,Kentucky,https://www.covingtonky.gov/
G25081035,40876,Woburn,MA,Woburn city,Massachusetts,https://www.woburnma.gov/
G09068100,40869,Shelton,CT,Shelton city,Connecticut,http://cityofshelton.org/
G25076030,40834,Westfield,MA,Westfield city,Massachusetts,https://www.cityofwestfield.org/
G24001600,40812,Annapolis,MD,Annapolis city,Maryland,https://www.annapolis.gov/
G25013205,40787,Chelsea,MA,Chelsea city,Massachusetts,https://www.chelseama.gov/
G06017568,40779,Culver City,CA,Culver City city,California,https://www.culvercity.org/
G41040550,40731,Lake Oswego,OR,Lake Oswego city,Oregon,https://www.ci.oswego.or.us/
G19011755,40713,Cedar Falls,IA,Cedar Falls city,Iowa,https://www.cedarfalls.com/
G48021628,40706,Duncanville,TX,Duncanville city,Texas,https://www.duncanville.com/
G36076705,40634,Valley Stream,NY,Valley Stream village,New York,https://www.vsvny.org/
G39041720,40552,Lancaster,OH,Lancaster city,Ohio,https://www.ci.lancaster.oh.us/
