"GISJOIN","POP20","BASENAME","State","smart","INTPTLAT","INTPTLON","green_commute","bachelor","poverty","income","no_insurance","internet","unemp","gini"
"G08061315",112,"Pritchett","CO",0,37.3700091,-102.8587491,4.47761194029851,26.3157894736842,25.8620689655172,29492,2.20588235294118,65.5172413793103,0,0.3917
"G08062000",111876,"Pueblo","CO",0,38.2699263,-104.6108151,15.0733207190161,21.7509358359256,20.4075837665458,28968,7.10516082439864,82.7464942553842,6.57090527442224,0.4704
"G08062660",111,"Ramah","CO",0,39.1222365,-104.1673391,0,4.76190476190476,3.77358490566038,34639,4.59770114942529,52.8301886792453,0,0.4556
"G08062880",2299,"Rangely","CO",0,40.087011,-108.78326,9.09926470588235,17.2391017173052,15.2095808383234,28893,6.01471224578105,92.2155688622755,6.5093572009764,0.3766
"G08063045",110,"Raymer (New Raymer)","CO",0,40.6079568,-103.843576,5.55555555555556,14.2857142857143,18.75,30128,23.4042553191489,68.75,18.1818181818182,0.411
"G08063265",257,"Red Cliff","CO",0,39.5092822,-106.3699448,36.3128491620112,47.4178403755869,0,47129,10.6164383561644,92.5619834710744,0,0.341
"G08064090",288,"Rico","CO",0,37.6890861,-108.0316773,60.4347826086956,45.9016393442623,14.1463414634146,37318,17.2774869109948,86.8292682926829,0,0.3836
"G08064200",1183,"Ridgway","CO",0,38.1571781,-107.7545967,22.2958057395143,51.4925373134328,14.9565217391304,50136,25.2516010978957,88.695652173913,10.1426307448494,0.4776
"G08064255",10437,"Rifle","CO",0,39.5375645,-107.7703438,21.3923813098142,16.3880694854146,7.57952973720609,30798,17.1586715867159,88.2157676348548,3.99800099950025,0.3522
"G08064970",511,"Rockvale","CO",0,38.3644026,-105.1646078,0,9.42622950819672,23.5294117647059,23999,6.1493411420205,84.5588235294118,7.60869565217391,0.3736
"G08065190",3876,"Rocky Ford","CO",0,38.0498841,-103.7221017,16.3479923518164,9.10245554614733,35.5996944232238,15721,8.43277645186953,77.9220779220779,10.8566581849025,0.4393
"G08065740",302,"Romeo","CO",0,37.1718223,-105.9854148,15.4320987654321,9.4488188976378,24.375,22047,15.8904109589041,84.375,0,0.3807
